Order_ID,Customer_ID,Order_Date,Order_Status,Sales_Channel,Payment_Method,Shipping_City,Shipping_State,Total_Order_Value
ORD0000043,CUST003962,2024-08-17,Delivered,Store,Cash on Delivery,Madurai,Tamil Nadu,537.38
ORD0000044,CUST000580,2024-08-17,Returned,Online,Credit Card,Chennai,Tamil Nadu,450.44
ORD0000045,CUST003456,2024-08-17,Delivered,Online,Debit Card,,Maharashtra,344.98
ORD0000046,CUST002993,2024-08-17,Delivered,Online,Debit Card,Mumbai,Maharashtra,1093.2
ORD0000047,CUST002042,2024-08-17,Delivered,Mobile App,Credit Card,Kolkata,West Bengal,366.21
ORD0000048,CUST001768,2024-08-17,Delivered,Online,UPI,Mumbai,Maharashtra,1134.49
ORD0000049,CUST001503,2024-08-17,Delivered,Mobile App,Credit Card,Jodhpur,Rajasthan,675.81
ORD0000050,CUST003945,2024-08-17,Delivered,Store,Net Banking,Delhi,Delhi,1106.17
ORD0000051,CUST000681,2024-08-17,Delivered,Online,UPI,Bengaluru,Karnataka,333.55
ORD0000052,CUST001174,2024-08-17,Delivered,Store,Cash on Delivery,Chandigarh,Chandigarh,742.4
ORD0000053,CUST002171,2024-08-17,Delivered,Online,UPI,Madurai,Tamil Nadu,2124.88
ORD0000054,CUST003838,2024-08-17,Delivered,Online,Credit Card,Howrah,West Bengal,759.2
ORD0000055,CUST001718,2024-08-17,Delivered,Online,Credit Card,Ahmedabad,Gujarat,728.26
ORD0000056,CUST004843,2024-08-17,Delivered,Online,Net Banking,Hyderabad,Telangana,1294.53
ORD0000057,CUST002710,2024-08-17,Cancelled,Online,Credit Card,Pune,Maharashtra,490.97
ORD0000058,CUST001910,2024-08-17,Delivered,Online,Credit Card,Ahmedabad,Gujarat,743.28
ORD0000059,CUST003125,2024-08-17,Delivered,Mobile App,UPI,Bengaluru,Karnataka,861.48
ORD0000060,CUST002543,2024-08-17,Delivered,Mobile App,Debit Card,Coimbatore,Tamil Nadu,878.41
ORD0000061,CUST001682,2024-08-17,Delivered,Store,UPI,Indore,Madhya Pradesh,5141.05
ORD0000062,CUST001561,2024-08-17,Delivered,Store,UPI,Pune,Maharashtra,3202.05
ORD0000063,CUST002749,2024-08-17,Delivered,Mobile App,Debit Card,,Maharashtra,269.33
ORD0000064,CUST004769,2024-08-17,Delivered,Online,UPI,Mumbai,Maharashtra,3451.7
ORD0000065,CUST000153,2024-08-17,Delivered,Mobile App,UPI,Ludhiana,Punjab,724.58
ORD0000066,CUST004087,2024-08-17,Delivered,Online,UPI,Kolkata,West Bengal,973.56
ORD0000067,CUST001441,2024-08-17,Delivered,Store,Cash on Delivery,Varanasi,Uttar Pradesh,744.41
ORD0000068,CUST000746,2024-08-17,Delivered,Store,Credit Card,Howrah,West Bengal,1081.29
ORD0000069,CUST004790,2024-08-17,Returned,Online,Net Banking,Kanpur,Uttar Pradesh,2286.66
ORD0000070,CUST000573,2024-08-17,Cancelled,Store,UPI,Patna,Bihar,1098.65
ORD0000071,CUST003992,2024-08-17,Delivered,Mobile App,Credit Card,Jaipur,Rajasthan,1933.09
ORD0000072,CUST002311,2024-08-17,Cancelled,Store,Debit Card,New Delhi,Delhi,2359.03
ORD0000073,CUST004060,2024-08-17,Delivered,Store,UPI,Warangal,Telangana,1591.57
ORD0000074,CUST001228,2024-08-17,Returned,Store,Debit Card,Pune,Maharashtra,1295.78
ORD0000075,CUST002264,2024-08-17,Returned,Online,Cash on Delivery,Bengaluru,Karnataka,459.23
ORD0000076,CUST002412,2024-08-17,Delivered,Online,Cash on Delivery,Hyderabad,Telangana,4115.89
ORD0000077,CUST003170,2024-08-17,Delivered,Store,UPI,Mumbai,Maharashtra,809.4
ORD0000078,CUST003531,2024-08-17,Returned,Online,Debit Card,Hyderabad,Telangana,1138.94
ORD0000079,CUST003387,2024-08-17,Pending,Mobile App,Credit Card,Chennai,Tamil Nadu,1237.38
ORD0000080,CUST004212,2024-08-17,Cancelled,Online,Credit Card,Varanasi,Uttar Pradesh,1006.38
ORD0000081,CUST004359,2024-08-17,Delivered,Mobile App,Debit Card,Ahmedabad,Gujarat,613.27
ORD0000082,CUST003370,2024-08-17,Delivered,Store,UPI,Hyderabad,Telangana,1039.18
ORD0000083,CUST001983,2024-08-18,Delivered,Online,Debit Card,Ahmedabad,Gujarat,208.66
ORD0000084,CUST000762,2024-08-18,Delivered,Mobile App,Credit Card,,Maharashtra,932.53
ORD0000085,CUST000665,2024-08-18,Delivered,Online,Credit Card,Lucknow,Uttar Pradesh,4285.5
ORD0000086,CUST003949,2024-08-18,Delivered,Store,Net Banking,Delhi,Delhi,826.61
ORD0000087,CUST002332,2024-08-18,Delivered,Store,UPI,,Maharashtra,523.47
ORD0000088,CUST000755,2024-08-18,Delivered,Mobile App,Debit Card,Pune,Maharashtra,385.08
ORD0000089,CUST002024,2024-08-18,Pending,Mobile App,Net Banking,Kochi,Kerala,184.34
ORD0000090,CUST000070,2024-08-18,Delivered,Store,Debit Card,Patna,Bihar,1738.66
ORD0000091,CUST003958,2024-08-18,Delivered,Mobile App,Debit Card,Kochi,Kerala,1702.27
ORD0000092,CUST002190,2024-08-18,Pending,Store,UPI,Patna,Bihar,1472.31
ORD0000093,CUST004650,2024-08-18,Delivered,Store,Debit Card,Nagpur,Maharashtra,522.64
ORD0000094,CUST000626,2024-08-18,Delivered,Online,Credit Card,Jaipur,Rajasthan,1370.32
ORD0000095,CUST004298,2024-08-18,Returned,Online,Debit Card,Kolkata,West Bengal,2222.46
ORD0000096,CUST001078,2024-08-18,Delivered,Store,Debit Card,Delhi,Delhi,150.0
ORD0000097,CUST000378,2024-08-18,Delivered,Online,UPI,Kochi,Kerala,906.45
ORD0000098,CUST004141,2024-08-18,Delivered,Store,UPI,Kolkata,West Bengal,1398.32
ORD0000099,CUST000929,2024-08-18,Cancelled,Store,Credit Card,Patna,Bihar,796.94
ORD0000100,CUST004880,2024-08-18,Delivered,Mobile App,Debit Card,Pune,Maharashtra,1651.79
ORD0000101,CUST001052,2024-08-18,Delivered,Online,Credit Card,Chennai,Tamil Nadu,593.99
ORD0000102,CUST003236,2024-08-18,Cancelled,Store,Debit Card,Amritsar,Punjab,625.92
ORD0000103,CUST001708,2024-08-18,Delivered,Store,Net Banking,Mumbai,Maharashtra,889.45
ORD0000104,CUST004429,2024-08-18,Delivered,Online,Debit Card,Hyderabad,Telangana,959.51
ORD0000105,CUST004568,2024-08-18,Delivered,Online,UPI,,Maharashtra,375.01
ORD0000106,CUST001239,2024-08-18,Delivered,Mobile App,Credit Card,Chennai,Tamil Nadu,2879.3
ORD0000107,CUST002494,2024-08-18,Delivered,Online,Net Banking,Howrah,West Bengal,1312.8
ORD0000108,CUST004366,2024-08-18,Returned,Store,Debit Card,Bengaluru,Karnataka,191.2
ORD0000109,CUST001237,2024-08-18,Returned,Store,Credit Card,Kolkata,West Bengal,742.79
ORD0000110,CUST003484,2024-08-18,Delivered,Store,UPI,Lucknow,Uttar Pradesh,669.96
ORD0000111,CUST001118,2024-08-18,Cancelled,Mobile App,UPI,Pune,Maharashtra,1304.3
ORD0000112,CUST002277,2024-08-18,Delivered,Online,Debit Card,Kolkata,West Bengal,261.88
ORD0000113,CUST000395,2024-08-18,Delivered,Online,UPI,Kolkata,West Bengal,1179.95
ORD0000114,CUST004584,2024-08-18,Delivered,Store,Net Banking,Delhi,Delhi,2557.63
ORD0000115,CUST000314,2024-08-18,Delivered,Store,Debit Card,Bengaluru,Karnataka,845.66
ORD0000116,CUST004329,2024-08-18,Delivered,Store,Net Banking,Bhubaneswar,Odisha,283.38
ORD0000117,CUST002737,2024-08-18,Delivered,Online,Credit Card,Mysuru,Karnataka,619.21
ORD0000118,CUST004049,2024-08-19,Returned,Online,UPI,Kolkata,West Bengal,213.82
ORD0000119,CUST000025,2024-08-19,Delivered,Mobile App,UPI,Hyderabad,Telangana,1203.21
ORD0000120,CUST000444,2024-08-19,Delivered,Store,Debit Card,Bengaluru,Karnataka,1233.05
ORD0000121,CUST002207,2024-08-19,Delivered,Mobile App,UPI,Chennai,Tamil Nadu,488.08
ORD0000122,CUST002159,2024-08-19,Delivered,Mobile App,Cash on Delivery,Chennai,Tamil Nadu,1426.95
ORD0000123,CUST000893,2024-08-19,Delivered,Online,UPI,Coimbatore,Tamil Nadu,2929.71
ORD0000124,CUST001631,2024-08-19,Returned,Store,Debit Card,Varanasi,Uttar Pradesh,1347.91
ORD0000125,CUST001350,2024-08-19,Delivered,Online,Debit Card,Bhubaneswar,Odisha,838.54
ORD0000126,CUST001734,2024-08-19,Delivered,Online,UPI,Patna,Bihar,1236.99
ORD0000127,CUST002582,2024-08-19,Delivered,Online,Credit Card,Lucknow,Uttar Pradesh,999.23
ORD0000128,CUST000558,2024-08-19,Delivered,Online,UPI,Kanpur,Uttar Pradesh,940.99
ORD0000129,CUST000770,2024-08-19,Delivered,Store,Debit Card,Vadodara,Gujarat,828.44
ORD0000130,CUST002917,2024-08-19,Returned,Online,UPI,Bengaluru,Karnataka,1517.69
ORD0000131,CUST000702,2024-08-19,Delivered,Store,UPI,Pune,Maharashtra,439.5
ORD0000132,CUST003160,2024-08-19,Delivered,Store,Net Banking,Delhi,Delhi,1607.19
ORD0000133,CUST004985,2024-08-19,Delivered,Store,UPI,Indore,Madhya Pradesh,803.6
ORD0000134,CUST001841,2024-08-19,Delivered,Mobile App,UPI,Bengaluru,Karnataka,1045.58
ORD0000135,CUST001630,2024-08-19,Cancelled,Online,UPI,Jodhpur,Rajasthan,550.79
ORD0000136,CUST001328,2024-08-19,Cancelled,Store,Cash on Delivery,Ludhiana,Punjab,4185.78
ORD0000137,CUST000833,2024-08-19,Delivered,Online,UPI,Varanasi,Uttar Pradesh,3933.54
ORD0000138,CUST000308,2024-08-19,Delivered,Online,Credit Card,Chennai,Tamil Nadu,1945.6
ORD0000139,CUST001368,2024-08-19,Delivered,Mobile App,Debit Card,Udaipur,Rajasthan,3550.21
ORD0000140,CUST002615,2024-08-19,Delivered,Online,Credit Card,Indore,Madhya Pradesh,4750.09
ORD0000141,CUST003115,2024-08-19,Delivered,Online,UPI,Bengaluru,Karnataka,1120.66
ORD0000142,CUST004693,2024-08-19,Delivered,Mobile App,UPI,New Delhi,Delhi,565.35
ORD0000143,CUST003863,2024-08-19,Returned,Mobile App,Net Banking,Jodhpur,Rajasthan,579.87
ORD0000144,CUST001483,2024-08-19,Cancelled,Mobile App,UPI,Chandigarh,Chandigarh,685.81
ORD0000145,CUST004984,2024-08-19,Delivered,Store,UPI,Mysuru,Karnataka,1018.09
ORD0000146,CUST003266,2024-08-19,Delivered,Online,UPI,Mumbai,Maharashtra,483.49
ORD0000147,CUST003115,2024-08-19,Delivered,Mobile App,UPI,Vadodara,Gujarat,292.2
ORD0000148,CUST002171,2024-08-19,Delivered,Online,UPI,Madurai,Tamil Nadu,849.29
ORD0000149,CUST001022,2024-08-19,Delivered,Mobile App,Credit Card,Delhi,Delhi,1212.54
ORD0000150,CUST001267,2024-08-19,Delivered,Online,Credit Card,Pune,Maharashtra,447.42
ORD0000151,CUST003230,2024-08-19,Delivered,Store,Credit Card,Indore,Madhya Pradesh,1106.71
ORD0000152,CUST003461,2024-08-19,Cancelled,Store,UPI,Vadodara,Gujarat,1414.95
ORD0000153,CUST003865,2024-08-19,Cancelled,Online,Net Banking,Mumbai,Maharashtra,792.99
ORD0000154,CUST004899,2024-08-19,Delivered,Online,Debit Card,Bengaluru,Karnataka,1767.63
ORD0000155,CUST004037,2024-08-19,Delivered,Mobile App,UPI,Jodhpur,Rajasthan,507.93
ORD0000156,CUST004855,2024-08-19,Delivered,Mobile App,Net Banking,Bengaluru,Karnataka,1217.71
ORD0000157,CUST000386,2024-08-19,Cancelled,Store,UPI,Hyderabad,Telangana,400.46
ORD0000158,CUST004406,2024-08-19,Delivered,Store,Credit Card,Kolkata,West Bengal,8684.29
ORD0000159,CUST002741,2024-08-19,Delivered,Online,Debit Card,Thiruvananthapuram,Kerala,1661.68
ORD0000160,CUST002311,2024-08-19,Delivered,Online,UPI,New Delhi,Delhi,1350.0
ORD0000161,CUST001208,2024-08-19,Delivered,Online,Credit Card,,Maharashtra,298.77
ORD0000162,CUST003334,2024-08-20,Delivered,Store,UPI,Chandigarh,Chandigarh,1850.48
ORD0000163,CUST003405,2024-08-20,Delivered,Mobile App,UPI,Ahmedabad,Gujarat,1035.33
ORD0000164,CUST000616,2024-08-20,Cancelled,Online,UPI,Pune,Maharashtra,499.7
ORD0000165,CUST003295,2024-08-20,Delivered,Online,Cash on Delivery,Hyderabad,Telangana,623.97
ORD0000166,CUST000179,2024-08-20,Delivered,Online,Debit Card,Bhopal,Madhya Pradesh,1227.07
ORD0000167,CUST004018,2024-08-20,Delivered,Online,Debit Card,Kolkata,West Bengal,672.64
ORD0000168,CUST001094,2024-08-20,Delivered,Online,Net Banking,Bengaluru,Karnataka,3955.42
ORD0000169,CUST004809,2024-08-20,Delivered,Mobile App,Credit Card,Kolkata,West Bengal,6460.36
ORD0000170,CUST004825,2024-08-20,Returned,Online,Debit Card,Mumbai,Maharashtra,1468.47
ORD0000171,CUST003957,2024-08-20,Delivered,Online,Credit Card,Chennai,Tamil Nadu,1353.69
ORD0000172,CUST003147,2024-08-20,Returned,Store,Net Banking,,Maharashtra,249.14
ORD0000173,CUST002070,2024-08-20,Delivered,Mobile App,Debit Card,Mumbai,Maharashtra,486.68
ORD0000174,CUST001357,2024-08-20,Delivered,Online,Net Banking,Coimbatore,Tamil Nadu,839.4
ORD0000175,CUST004657,2024-08-20,Cancelled,Online,Debit Card,Jaipur,Rajasthan,819.55
ORD0000176,CUST000539,2024-08-20,Delivered,Mobile App,UPI,Chennai,Tamil Nadu,1531.18
ORD0000177,CUST000351,2024-08-20,Delivered,Store,Debit Card,Bengaluru,Karnataka,427.95
ORD0000178,CUST004062,2024-08-20,Delivered,Online,Net Banking,Hyderabad,Telangana,3712.37
ORD0000179,CUST003189,2024-08-20,Delivered,Store,UPI,Surat,Gujarat,1183.14
ORD0000180,CUST004546,2024-08-20,Delivered,Online,UPI,Kolkata,West Bengal,2067.67
ORD0000181,CUST000844,2024-08-20,Delivered,Online,Net Banking,Varanasi,Uttar Pradesh,949.7
ORD0000182,CUST002579,2024-08-20,Delivered,Online,Debit Card,Ahmedabad,Gujarat,1240.14
ORD0000183,CUST004743,2024-08-20,Delivered,Mobile App,Net Banking,Mumbai,Maharashtra,1063.63
ORD0000184,CUST002667,2024-08-20,Delivered,Online,Credit Card,Ludhiana,Punjab,2021.32
ORD0000185,CUST004440,2024-08-20,Delivered,Mobile App,UPI,Ludhiana,Punjab,1004.51
ORD0000186,CUST004546,2024-08-20,Delivered,Online,Net Banking,Kolkata,West Bengal,3136.64
ORD0000187,CUST000408,2024-08-20,Delivered,Mobile App,UPI,Kochi,Kerala,306.49
ORD0000188,CUST002617,2024-08-20,Delivered,Online,Net Banking,Patna,Bihar,899.41
ORD0000189,CUST002585,2024-08-20,Delivered,Store,Debit Card,Chennai,Tamil Nadu,704.16
ORD0000190,CUST002626,2024-08-20,Delivered,Online,Credit Card,Pune,Maharashtra,623.55
ORD0000191,CUST001107,2024-08-20,Delivered,Online,UPI,Patna,Bihar,985.3
ORD0000192,CUST001750,2024-08-20,Delivered,Online,UPI,Chennai,Tamil Nadu,1416.18
ORD0000193,CUST002906,2024-08-20,Delivered,Online,Cash on Delivery,Mumbai,Maharashtra,1086.4
ORD0000194,CUST001058,2024-08-20,Delivered,Online,UPI,Udaipur,Rajasthan,521.14
ORD0000195,CUST002912,2024-08-20,Delivered,Store,UPI,Mumbai,Maharashtra,1509.71
ORD0000196,CUST000110,2024-08-20,Cancelled,Online,UPI,Thiruvananthapuram,Kerala,2628.81
ORD0000197,CUST001956,2024-08-21,Delivered,Online,Net Banking,Chennai,Tamil Nadu,351.94
ORD0000198,CUST004895,2024-08-21,Delivered,Online,UPI,Warangal,Telangana,908.52
ORD0000199,CUST000546,2024-08-21,Delivered,Store,Credit Card,Lucknow,Uttar Pradesh,468.47
ORD0000200,CUST000801,2024-08-21,Delivered,Store,Debit Card,Kolkata,West Bengal,2123.89
ORD0000201,CUST004879,2024-08-21,Delivered,Store,Credit Card,Kolkata,West Bengal,508.56
ORD0000202,CUST003875,2024-08-21,Delivered,Store,UPI,Delhi,Delhi,1653.11
ORD0000203,CUST001538,2024-08-21,Delivered,Store,Debit Card,Bengaluru,Karnataka,207.98
ORD0000204,CUST004427,2024-08-21,Delivered,Online,UPI,Chennai,Tamil Nadu,709.63
ORD0000205,CUST001682,2024-08-21,Returned,Online,Credit Card,Indore,Madhya Pradesh,1439.93
ORD0000206,CUST004816,2024-08-21,Delivered,Online,UPI,Thiruvananthapuram,Kerala,826.05
ORD0000207,CUST003223,2024-08-21,Pending,Online,Credit Card,Vadodara,Gujarat,2347.37
ORD0000208,CUST002303,2024-08-21,Cancelled,Online,Debit Card,Kanpur,Uttar Pradesh,696.79
ORD0000209,CUST002700,2024-08-21,Delivered,Online,Credit Card,Hyderabad,Telangana,1113.09
ORD0000210,CUST004256,2024-08-21,Delivered,Mobile App,Credit Card,Chandigarh,Chandigarh,588.6
ORD0000211,CUST002529,2024-08-21,Delivered,Online,Credit Card,Vadodara,Gujarat,825.22
ORD0000212,CUST004042,2024-08-21,Delivered,Online,Net Banking,Chandigarh,Chandigarh,2142.33
ORD0000213,CUST003608,2024-08-21,Returned,Store,Cash on Delivery,Bhopal,Madhya Pradesh,799.65
ORD0000214,CUST004591,2024-08-21,Delivered,Store,UPI,Hyderabad,Telangana,2459.21
ORD0000215,CUST001433,2024-08-21,Returned,Online,UPI,Hyderabad,Telangana,4577.81
ORD0000216,CUST002302,2024-08-21,Delivered,Store,UPI,Chennai,Tamil Nadu,2026.13
ORD0000217,CUST003139,2024-08-21,Returned,Mobile App,Credit Card,Bengaluru,Karnataka,1562.55
ORD0000218,CUST002807,2024-08-21,Delivered,Online,Cash on Delivery,Ahmedabad,Gujarat,687.42
ORD0000219,CUST001893,2024-08-21,Delivered,Store,UPI,Jodhpur,Rajasthan,739.75
ORD0000220,CUST004168,2024-08-21,Delivered,Online,Cash on Delivery,,Maharashtra,896.08
ORD0000221,CUST004075,2024-08-21,Cancelled,Online,Credit Card,Delhi,Delhi,2006.87
ORD0000222,CUST003619,2024-08-21,Pending,Online,UPI,Pune,Maharashtra,1162.09
ORD0000223,CUST001341,2024-08-21,Delivered,Mobile App,Credit Card,Ahmedabad,Gujarat,906.31
ORD0000224,CUST002511,2024-08-21,Delivered,Store,Debit Card,Udaipur,Rajasthan,8735.25
ORD0000225,CUST002787,2024-08-21,Delivered,Mobile App,UPI,Varanasi,Uttar Pradesh,13405.95
ORD0000226,CUST004555,2024-08-21,Delivered,Store,UPI,Varanasi,Uttar Pradesh,330.25
ORD0000227,CUST001956,2024-08-21,Delivered,Online,UPI,Chennai,Tamil Nadu,285.4
ORD0000228,CUST002559,2024-08-21,Returned,Online,UPI,Bengaluru,Karnataka,651.71
ORD0000229,CUST003792,2024-08-21,Delivered,Mobile App,UPI,,Maharashtra,927.79
ORD0000230,CUST002548,2024-08-21,Returned,Online,UPI,Bengaluru,Karnataka,1143.83
ORD0000231,CUST004751,2024-08-22,Returned,Online,Net Banking,Ludhiana,Punjab,1301.15
ORD0000232,CUST002966,2024-08-22,Delivered,Store,Credit Card,Ahmedabad,Gujarat,1286.58
ORD0000233,CUST001996,2024-08-22,Delivered,Store,Credit Card,Chennai,Tamil Nadu,1402.7
ORD0000234,CUST000466,2024-08-22,Delivered,Store,UPI,Ahmedabad,Gujarat,1309.05
ORD0000235,CUST002232,2024-08-22,Delivered,Mobile App,UPI,Jaipur,Rajasthan,1536.56
ORD0000236,CUST002537,2024-08-22,Delivered,Store,UPI,Ahmedabad,Gujarat,1292.81
ORD0000237,CUST000447,2024-08-22,Delivered,Store,UPI,Mumbai,Maharashtra,1709.14
ORD0000238,CUST001221,2024-08-22,Returned,Mobile App,Debit Card,Hyderabad,Telangana,1188.53
ORD0000239,CUST002304,2024-08-22,Delivered,Store,UPI,Varanasi,Uttar Pradesh,1643.75
ORD0000240,CUST003838,2024-08-22,Delivered,Mobile App,Debit Card,Pune,Maharashtra,751.5
ORD0000241,CUST004584,2024-08-22,Delivered,Online,Credit Card,Delhi,Delhi,1134.0
ORD0000242,CUST002013,2024-08-22,Delivered,Online,Cash on Delivery,Bhubaneswar,Odisha,595.93
ORD0000243,CUST004539,2024-08-22,Delivered,Online,Credit Card,Mumbai,Maharashtra,353.58
ORD0000244,CUST001170,2024-08-22,Delivered,Mobile App,Credit Card,Ahmedabad,Gujarat,365.33
ORD0000245,CUST003963,2024-08-22,Delivered,Online,UPI,Chandigarh,Chandigarh,1299.44
ORD0000246,CUST002408,2024-08-22,Delivered,Store,Credit Card,Ludhiana,Punjab,2187.61
ORD0000247,CUST003208,2024-08-22,Delivered,Online,UPI,,Maharashtra,955.41
ORD0000248,CUST004849,2024-08-22,Delivered,Store,Credit Card,Bengaluru,Karnataka,1128.87
ORD0000249,CUST002738,2024-08-22,Delivered,Online,UPI,Lucknow,Uttar Pradesh,1549.94
ORD0000250,CUST000328,2024-08-22,Delivered,Mobile App,Debit Card,Bhubaneswar,Odisha,1946.29
ORD0000251,CUST000442,2024-08-22,Delivered,Store,UPI,Kochi,Kerala,507.27
ORD0000252,CUST004168,2024-08-22,Delivered,Store,Debit Card,Chennai,Tamil Nadu,1772.74
ORD0000253,CUST003704,2024-08-22,Delivered,Online,Credit Card,Mumbai,Maharashtra,1305.3
ORD0000254,CUST001810,2024-08-22,Delivered,Mobile App,Cash on Delivery,Hyderabad,Telangana,1382.96
ORD0000255,CUST002987,2024-08-22,Delivered,Online,UPI,Hyderabad,Telangana,1128.6
ORD0000256,CUST002268,2024-08-22,Delivered,Store,Credit Card,Howrah,West Bengal,1056.02
ORD0000257,CUST001818,2024-08-22,Delivered,Mobile App,UPI,Nagpur,Maharashtra,556.39
ORD0000258,CUST001814,2024-08-22,Delivered,Online,Credit Card,Ahmedabad,Gujarat,1361.72
ORD0000259,CUST004441,2024-08-22,Returned,Online,Debit Card,Hyderabad,Telangana,482.25
ORD0000260,CUST001683,2024-08-22,Delivered,Store,UPI,Bengaluru,Karnataka,946.48
ORD0000261,CUST003948,2024-08-22,Returned,Mobile App,Credit Card,Delhi,Delhi,1067.73
ORD0000262,CUST003276,2024-08-22,Cancelled,Store,Net Banking,Pune,Maharashtra,1481.93
ORD0000263,CUST003326,2024-08-22,Delivered,Online,Debit Card,Mumbai,Maharashtra,807.36
ORD0000264,CUST003413,2024-08-22,Cancelled,Store,Credit Card,Amritsar,Punjab,367.83
ORD0000265,CUST002863,2024-08-22,Delivered,Online,UPI,Madurai,Tamil Nadu,1423.4
ORD0000266,CUST003034,2024-08-22,Delivered,Online,UPI,Bengaluru,Karnataka,1134.43
ORD0000267,CUST003586,2024-08-22,Delivered,Online,Credit Card,Hyderabad,Telangana,512.14
ORD0000268,CUST002964,2024-08-22,Delivered,Store,Credit Card,,Maharashtra,2422.46
ORD0000269,CUST001863,2024-08-22,Delivered,Online,UPI,Lucknow,Uttar Pradesh,757.46
ORD0000270,CUST004160,2024-08-22,Delivered,Mobile App,Credit Card,Bhubaneswar,Odisha,1448.81
ORD0000271,CUST003347,2024-08-22,Delivered,Mobile App,Debit Card,Kolkata,West Bengal,1056.46
