Order_ID,Customer_ID,Order_Date,Shipping_City,Total_Order_Value,Order_day,Order_Month,Order_Year,Order_Status_Delivered,Order_Status_Pending,Order_Status_Returned,Sales_Channel_Online,Sales_Channel_Store,Payment_Method_Credit Card,Payment_Method_Debit Card,Payment_Method_Net Banking,Payment_Method_UPI,Shipping_State_Bihar,Shipping_State_Chandigarh,Shipping_State_Delhi,Shipping_State_Gujarat,Shipping_State_Karnataka,Shipping_State_Kerala,Shipping_State_Madhya Pradesh,Shipping_State_Maharashtra,Shipping_State_Odisha,Shipping_State_Punjab,Shipping_State_Rajasthan,Shipping_State_Tamil Nadu,Shipping_State_Telangana,Shipping_State_Uttar Pradesh,Shipping_State_West Bengal
ORD0000025,CUST004659,2024-08-16,Chennai,1793.17,16,8,2024,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000026,CUST000134,2024-08-16,Delhi,165.12,16,8,2024,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000027,CUST004111,2024-08-16,Pune,2232.56,16,8,2024,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000028,CUST001582,2024-08-16,Lucknow,3216.08,16,8,2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD0000029,CUST004095,2024-08-16,Kochi,392.48,16,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ORD0000030,CUST004623,2024-08-16,Bengaluru,526.29,16,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000031,CUST001263,2024-08-16,Varanasi,1002.42,16,8,2024,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD0000032,CUST003992,2024-08-16,Jaipur,598.61,16,8,2024,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ORD0000033,CUST004828,2024-08-16,Pune,492.33,16,8,2024,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000034,CUST001705,2024-08-16,Madurai,531.3,16,8,2024,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000035,CUST003702,2024-08-16,Coimbatore,3370.11,16,8,2024,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000036,CUST000638,2024-08-16,Udaipur,813.64,16,8,2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ORD0000037,CUST004131,2024-08-16,New Delhi,846.77,16,8,2024,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000038,CUST004717,2024-08-16,Kolkata,639.98,16,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000039,CUST003090,2024-08-17,Chennai,869.77,17,8,2024,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000040,CUST003927,2024-08-17,Chennai,3328.86,17,8,2024,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000041,CUST000142,2024-08-17,Bengaluru,2647.61,17,8,2024,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000042,CUST004147,2024-08-17,Chandigarh,1236.97,17,8,2024,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000043,CUST003962,2024-08-17,Madurai,537.38,17,8,2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000044,CUST000580,2024-08-17,Chennai,450.44,17,8,2024,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000045,CUST003456,2024-08-17,,344.98,17,8,2024,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000046,CUST002993,2024-08-17,Mumbai,1093.2,17,8,2024,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000047,CUST002042,2024-08-17,Kolkata,366.21,17,8,2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000048,CUST001768,2024-08-17,Mumbai,1134.49,17,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000049,CUST001503,2024-08-17,Jodhpur,675.81,17,8,2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ORD0000050,CUST003945,2024-08-17,Delhi,1106.17,17,8,2024,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000051,CUST000681,2024-08-17,Bengaluru,333.55,17,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000052,CUST001174,2024-08-17,Chandigarh,742.4,17,8,2024,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000053,CUST002171,2024-08-17,Madurai,2124.88,17,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000054,CUST003838,2024-08-17,Howrah,759.2,17,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000055,CUST001718,2024-08-17,Ahmedabad,728.26,17,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD0000056,CUST004843,2024-08-17,Hyderabad,1294.53,17,8,2024,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ORD0000057,CUST002710,2024-08-17,Pune,490.97,17,8,2024,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000058,CUST001910,2024-08-17,Ahmedabad,743.28,17,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD0000059,CUST003125,2024-08-17,Bengaluru,861.48,17,8,2024,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000060,CUST002543,2024-08-17,Coimbatore,878.41,17,8,2024,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000061,CUST001682,2024-08-17,Indore,5141.05,17,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ORD0000062,CUST001561,2024-08-17,Pune,3202.05,17,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000063,CUST002749,2024-08-17,,269.33,17,8,2024,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000064,CUST004769,2024-08-17,Mumbai,3451.7,17,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000065,CUST000153,2024-08-17,Ludhiana,724.58,17,8,2024,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ORD0000066,CUST004087,2024-08-17,Kolkata,973.56,17,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000067,CUST001441,2024-08-17,Varanasi,744.41,17,8,2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD0000068,CUST000746,2024-08-17,Howrah,1081.29,17,8,2024,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000069,CUST004790,2024-08-17,Kanpur,2286.66,17,8,2024,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD0000070,CUST000573,2024-08-17,Patna,1098.65,17,8,2024,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000071,CUST003992,2024-08-17,Jaipur,1933.09,17,8,2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ORD0000072,CUST002311,2024-08-17,New Delhi,2359.03,17,8,2024,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000073,CUST004060,2024-08-17,Warangal,1591.57,17,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ORD0000074,CUST001228,2024-08-17,Pune,1295.78,17,8,2024,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000075,CUST002264,2024-08-17,Bengaluru,459.23,17,8,2024,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000076,CUST002412,2024-08-17,Hyderabad,4115.89,17,8,2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ORD0000077,CUST003170,2024-08-17,Mumbai,809.4,17,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000078,CUST003531,2024-08-17,Hyderabad,1138.94,17,8,2024,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ORD0000079,CUST003387,2024-08-17,Chennai,1237.38,17,8,2024,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000080,CUST004212,2024-08-17,Varanasi,1006.38,17,8,2024,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD0000081,CUST004359,2024-08-17,Ahmedabad,613.27,17,8,2024,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD0000082,CUST003370,2024-08-17,Hyderabad,1039.18,17,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ORD0000083,CUST001983,2024-08-18,Ahmedabad,208.66,18,8,2024,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD0000084,CUST000762,2024-08-18,,932.53,18,8,2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000085,CUST000665,2024-08-18,Lucknow,4285.5,18,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD0000086,CUST003949,2024-08-18,Delhi,826.61,18,8,2024,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000087,CUST002332,2024-08-18,,523.47,18,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000088,CUST000755,2024-08-18,Pune,385.08,18,8,2024,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000089,CUST002024,2024-08-18,Kochi,184.34,18,8,2024,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ORD0000090,CUST000070,2024-08-18,Patna,1738.66,18,8,2024,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000091,CUST003958,2024-08-18,Kochi,1702.27,18,8,2024,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ORD0000092,CUST002190,2024-08-18,Patna,1472.31,18,8,2024,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000093,CUST004650,2024-08-18,Nagpur,522.64,18,8,2024,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000094,CUST000626,2024-08-18,Jaipur,1370.32,18,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ORD0000095,CUST004298,2024-08-18,Kolkata,2222.46,18,8,2024,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000096,CUST001078,2024-08-18,Delhi,150.0,18,8,2024,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000097,CUST000378,2024-08-18,Kochi,906.45,18,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ORD0000098,CUST004141,2024-08-18,Kolkata,1398.32,18,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000099,CUST000929,2024-08-18,Patna,796.94,18,8,2024,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000100,CUST004880,2024-08-18,Pune,1651.79,18,8,2024,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000101,CUST001052,2024-08-18,Chennai,593.99,18,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000102,CUST003236,2024-08-18,Amritsar,625.92,18,8,2024,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ORD0000103,CUST001708,2024-08-18,Mumbai,889.45,18,8,2024,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000104,CUST004429,2024-08-18,Hyderabad,959.51,18,8,2024,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ORD0000105,CUST004568,2024-08-18,,375.01,18,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000106,CUST001239,2024-08-18,Chennai,2879.3,18,8,2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000107,CUST002494,2024-08-18,Howrah,1312.8,18,8,2024,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000108,CUST004366,2024-08-18,Bengaluru,191.2,18,8,2024,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000109,CUST001237,2024-08-18,Kolkata,742.79,18,8,2024,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000110,CUST003484,2024-08-18,Lucknow,669.96,18,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD0000111,CUST001118,2024-08-18,Pune,1304.3,18,8,2024,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000112,CUST002277,2024-08-18,Kolkata,261.88,18,8,2024,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000113,CUST000395,2024-08-18,Kolkata,1179.95,18,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000114,CUST004584,2024-08-18,Delhi,2557.63,18,8,2024,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000115,CUST000314,2024-08-18,Bengaluru,845.66,18,8,2024,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000116,CUST004329,2024-08-18,Bhubaneswar,283.38,18,8,2024,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ORD0000117,CUST002737,2024-08-18,Mysuru,619.21,18,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000118,CUST004049,2024-08-19,Kolkata,213.82,19,8,2024,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000119,CUST000025,2024-08-19,Hyderabad,1203.21,19,8,2024,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ORD0000120,CUST000444,2024-08-19,Bengaluru,1233.05,19,8,2024,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000121,CUST002207,2024-08-19,Chennai,488.08,19,8,2024,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000122,CUST002159,2024-08-19,Chennai,1426.95,19,8,2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000123,CUST000893,2024-08-19,Coimbatore,2929.71,19,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000124,CUST001631,2024-08-19,Varanasi,1347.91,19,8,2024,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD0000125,CUST001350,2024-08-19,Bhubaneswar,838.54,19,8,2024,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ORD0000126,CUST001734,2024-08-19,Patna,1236.99,19,8,2024,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000127,CUST002582,2024-08-19,Lucknow,999.23,19,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD0000128,CUST000558,2024-08-19,Kanpur,940.99,19,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD0000129,CUST000770,2024-08-19,Vadodara,828.44,19,8,2024,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD0000130,CUST002917,2024-08-19,Bengaluru,1517.69,19,8,2024,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000131,CUST000702,2024-08-19,Pune,439.5,19,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000132,CUST003160,2024-08-19,Delhi,1607.19,19,8,2024,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000133,CUST004985,2024-08-19,Indore,803.6,19,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ORD0000134,CUST001841,2024-08-19,Bengaluru,1045.58,19,8,2024,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000135,CUST001630,2024-08-19,Jodhpur,550.79,19,8,2024,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ORD0000136,CUST001328,2024-08-19,Ludhiana,4185.78,19,8,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ORD0000137,CUST000833,2024-08-19,Varanasi,3933.54,19,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD0000138,CUST000308,2024-08-19,Chennai,1945.6,19,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000139,CUST001368,2024-08-19,Udaipur,3550.21,19,8,2024,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ORD0000140,CUST002615,2024-08-19,Indore,4750.09,19,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ORD0000141,CUST003115,2024-08-19,Bengaluru,1120.66,19,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000142,CUST004693,2024-08-19,New Delhi,565.35,19,8,2024,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000143,CUST003863,2024-08-19,Jodhpur,579.87,19,8,2024,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ORD0000144,CUST001483,2024-08-19,Chandigarh,685.81,19,8,2024,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000145,CUST004984,2024-08-19,Mysuru,1018.09,19,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000146,CUST003266,2024-08-19,Mumbai,483.49,19,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000147,CUST003115,2024-08-19,Vadodara,292.2,19,8,2024,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD0000148,CUST002171,2024-08-19,Madurai,849.29,19,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000149,CUST001022,2024-08-19,Delhi,1212.54,19,8,2024,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000150,CUST001267,2024-08-19,Pune,447.42,19,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000151,CUST003230,2024-08-19,Indore,1106.71,19,8,2024,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ORD0000152,CUST003461,2024-08-19,Vadodara,1414.95,19,8,2024,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD0000153,CUST003865,2024-08-19,Mumbai,792.99,19,8,2024,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000154,CUST004899,2024-08-19,Bengaluru,1767.63,19,8,2024,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD0000155,CUST004037,2024-08-19,Jodhpur,507.93,19,8,2024,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ORD0000156,CUST004855,2024-08-19,Bengaluru,1217.71,19,8,2024,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
